State,Id,type,value,stdev,lb,ub
reaction,INGLC,fixed,1,1,0,300
reaction,INCO2,fixed,483.0938092,1,0,300
reaction,EXCO2,free,483.5525015,1,0,300
reaction,hkf,free,1.000008158,1,0,300
reaction,pgif,free,0.940762518,1,0,300
reaction,pfkf,free,8.348172431,1,0,300
reaction,fbaf,free,8.362856586,1,0,300
reaction,tpif,free,6.453676358,1,0,300
reaction,gapdf,free,1.885308091,1,0,300
reaction,pgkf,free,1.893829366,1,0,300
reaction,enof,free,1.88658878,1,0,300
reaction,pykf,free,2.158759035,1,0,300
reaction,ldhf,free,0.921474195,1,0,300
reaction,EXDHAP,free,0.00967105,1,0,300
reaction,EXPGA,free,0.00967105,1,0,300
reaction,EXPYR,free,0.0193421,1,0,300
reaction,EXLAC,free,0.892978395,1,0,300
reaction,EXG6P,free,0.04835525,1,0,300
reaction,ppckf,free,0.207141797,1,0,300
reaction,mef,free,4.615234969,1,0,300
reaction,pcf,free,5.251074043,1,0,300
reaction,g6pdhf,free,0.013033512,1,0,300
reaction,gndf,free,0.439784525,1,0,300
reaction,rpif,free,0.263306191,1,0,300
reaction,rpef,free,0.803738198,1,0,300
reaction,tkt2f,free,0.010235424,1,0,300
reaction,tkt1f,free,0.004023485,1,0,300
reaction,talf,free,7.408053567,1,0,300
reaction,SBAf,free,7.414624846,1,0,300
reaction,SBPasef,free,7.403023341,1,0,300
reaction,EXR5P,free,0.00386842,1,0,300
reaction,EXOAA,free,1.481027281,1,0,300
reaction,pdhf,free,1.2852E-07,1,0,300
reaction,INAC,fixed,0.277756297,1,0,300
reaction,csf,free,0.228224054,1,0,300
reaction,acitlf,free,0.160677072,1,0,300
reaction,icdhf,free,1.641176109,1,0,300
reaction,akgdhf,free,0.856428305,1,0,300
reaction,sucoasf,free,5.930865381,1,0,300
reaction,sucdf,free,0.916554876,1,0,300
reaction,fumf,free,1.451115588,1,0,300
reaction,mdhf,free,0.009850291,1,0,300
reaction,PYRAlaf,free,0.581663169,1,0,300
reaction,EXPYRAla,free,0.581609409,1,0,300
reaction,OGAGluf,free,0.002810594,1,0,300
reaction,INGln,fixed,2.133086296,1,0,300
reaction,INGlu,fixed,1.010512651,1,0,300
reaction,OGAGlnf,free,0.069444681,1,0,300
reaction,EXGln,free,1.333353303,1,0,300
reaction,INOAA,fixed,0.26337086,1,0,300
reaction,EXOGAGlu,free,1.021355827,1,0,300
reaction,EXACcyt,free,0.160677071,1,0,300
reaction,hkr,free,8.15834E-06,1,0,300
reaction,pgir,free,0.002151118,1,0,300
reaction,pfkr,free,0.00042776,1,0,300
reaction,fbar,free,0.015111914,1,0,300
reaction,tpir,free,5.518626054,1,0,300
reaction,gapdr,free,0.002481458,1,0,300
reaction,pgkr,free,0.011002733,1,0,300
reaction,enor,free,0.013433197,1,0,300
reaction,pykr,free,0.078465806,1,0,300
reaction,ldhr,free,0.0284958,1,0,300
reaction,ppckr,free,4.14997E-06,1,0,300
reaction,mer,free,6.55612E-05,1,0,300
reaction,pcr,free,3.83456E-07,1,0,300
reaction,g6pdhr,free,1.62405E-07,1,0,300
reaction,gndr,free,0.426751175,1,0,300
reaction,rpir,free,0.256382794,1,0,300
reaction,rper,free,0.797628244,1,0,300
reaction,tkt2r,free,0.007180448,1,0,300
reaction,tkt1r,free,0.000968508,1,0,300
reaction,talr,free,0.001975272,1,0,300
reaction,SBAr,free,0.011601527,1,0,300
reaction,SBPaser,free,2.28638E-08,1,0,300
reaction,pdhr,free,0.049541054,1,0,300
reaction,csr,free,8.68148E-06,1,0,300
reaction,acitlr,free,1.11864E-10,1,0,300
reaction,icdhr,free,1.573637808,1,0,300
reaction,akgdhr,free,1.87649E-07,1,0,300
reaction,sucoasr,free,5.074437263,1,0,300
reaction,sucdr,free,0.060126759,1,0,300
reaction,fumr,free,0.59468747,1,0,300
reaction,mdhr,free,3.768591581,1,0,300
reaction,PYRAlar,free,5.37604E-05,1,0,300
reaction,OGAGlur,free,0.210091001,1,0,300
reaction,OGAGlnr,free,0.869177674,1,0,300
metabolite,CO2IN,fixed,100,1,0,300
metabolite,CO2,fixed,100,1,0,300
metabolite,GLCIN,fixed,100,1,0,300
metabolite,GLC,fixed,100,1,0,300
metabolite,G6P,fixed,100,1,0,300
metabolite,F6P,fixed,100,1,0,300
metabolite,FBP,fixed,100,1,0,300
metabolite,GAP,fixed,100,1,0,300
metabolite,DHAP,fixed,100,1,0,300
